,Id,No,Si,departamento,habilitados,nomarcados,nombre,nulos,total votos,validos
117,19007,1849,875,HUILA,6804,26,AGRADO,29,2779,2724
118,19010,2917,2491,HUILA,14967,58,AIPE,71,5537,5408
119,19013,2306,2761,HUILA,14338,75,ALGECIRAS,92,5234,5067
120,19016,561,439,HUILA,2991,5,ALTAMIRA,11,1016,1000
121,19019,1057,1206,HUILA,5983,27,BARAYA,17,2307,2263
122,19022,6134,3811,HUILA,24718,63,CAMPOALEGRE,173,10181,9945
123,19028,1431,952,HUILA,6752,33,COLOMBIA,26,2442,2383
124,19031,682,645,HUILA,3169,14,ELIAS,14,1355,1327
125,19034,12101,6356,HUILA,51641,158,GARZON,287,18902,18457
126,19037,4263,2668,HUILA,18633,65,GIGANTE,188,7184,6931
127,19040,3132,1331,HUILA,12391,35,GUADALUPE,83,4581,4463
128,19043,1250,1005,HUILA,5571,16,HOBO,42,2313,2255
129,19046,1727,1110,HUILA,6862,24,IQUIRA,40,2901,2837
130,19044,5426,2041,HUILA,18179,101,ISNOS,155,7723,7467
131,19050,1124,604,HUILA,4497,22,NATAGA,20,1770,1728
132,19001,58666,49083,HUILA,255422,479,NEIVA,1066,109294,107749
133,19051,2246,847,HUILA,7370,36,OPORAPA,45,3174,3093
134,19052,1522,604,HUILA,4738,22,PAICOL,27,2175,2126
135,19055,4814,2901,HUILA,20533,37,PALERMO,79,7831,7715
136,19056,1876,1146,HUILA,8509,34,PALESTINA,64,3120,3022
137,19058,2565,1016,HUILA,9123,22,PITAL,55,3658,3581
138,19061,19996,10660,HUILA,89760,179,PITALITO,405,31240,30656
139,19064,3446,2919,HUILA,16199,40,RIVERA,90,6495,6365
140,19067,1936,1420,HUILA,8635,38,SALADOBLANCO,53,3447,3356
141,19076,2183,1027,HUILA,11911,41,SUAZA,56,3307,3210
142,19079,3015,1427,HUILA,11492,31,TARQUI,59,4532,4442
143,19082,2120,1899,HUILA,10814,37,TELLO,83,4139,4019
144,19085,1799,738,HUILA,6481,11,TERUEL,36,2584,2537
145,19088,4471,1441,HUILA,15078,64,TIMANA,65,6041,5912
146,19091,1086,1480,HUILA,6524,22,VILLAVIEJA,44,2632,2566
147,19094,1802,1137,HUILA,6750,5,YAGUARA,39,2983,2939
148,25004,4149,2095,NORTE DE SANTANDER,21133,56,ABREGO,77,6377,6244
149,25007,2078,907,NORTE DE SANTANDER,6826,53,ARBOLEDAS,58,3096,2985
150,25010,1786,1080,NORTE DE SANTANDER,6046,25,BOCHALEMA,50,2941,2866
151,25013,985,413,NORTE DE SANTANDER,4108,30,BUCARASICA,70,1498,1398
152,25019,2060,531,NORTE DE SANTANDER,6959,15,CACHIRA,28,2634,2591
153,25016,432,413,NORTE DE SANTANDER,2156,4,CACOTA,24,873,845
154,25028,3351,1983,NORTE DE SANTANDER,11426,29,CHINACOTA,90,5453,5334
155,25031,1729,1056,NORTE DE SANTANDER,7562,45,CHITAGA,78,2908,2785
156,25022,1411,2101,NORTE DE SANTANDER,14827,83,CONVENCION,137,3732,3512
157,25001,157742,83572,NORTE DE SANTANDER,542712,1325,CUCUTA,3088,245727,241314
158,25025,1850,938,NORTE DE SANTANDER,6168,79,CUCUTILLA,72,2939,2788
159,25034,885,1003,NORTE DE SANTANDER,4279,13,DURANIA,32,1933,1888
160,25040,1253,632,NORTE DE SANTANDER,4850,23,GRAMALOTE,38,1946,1885
161,25043,184,1562,NORTE DE SANTANDER,6906,34,HACARI,59,1839,1746
162,25046,769,377,NORTE DE SANTANDER,3574,18,HERRAN,28,1192,1146
163,25049,782,877,NORTE DE SANTANDER,4905,18,LABATECA,32,1709,1659
164,25055,904,317,NORTE DE SANTANDER,3214,25,LOURDES,53,1299,1221
165,25058,605,499,NORTE DE SANTANDER,2664,9,MUTISCUA,21,1134,1104
166,25061,16720,10753,NORTE DE SANTANDER,76057,126,OCAÑA,378,27977,27473
167,25064,12079,6506,NORTE DE SANTANDER,43064,85,PAMPLONA,293,18963,18585
168,25067,1178,577,NORTE DE SANTANDER,3796,41,PAMPLONITA,46,1842,1755
169,25070,1266,422,NORTE DE SANTANDER,6440,17,RAGONVALIA,23,1728,1688
